Date,Open,High,Low,Close,Adj Close,Volume
2019-06-25,342.000000,350.000000,338.000000,346.000000,346.000000,16317800
2019-06-26,346.000000,350.000000,338.000000,346.000000,346.000000,5468100
2019-06-27,346.000000,348.000000,342.000000,344.000000,344.000000,3746600
2019-06-28,346.000000,348.000000,340.000000,340.000000,340.000000,3113300
2019-07-01,342.000000,346.000000,342.000000,342.000000,342.000000,5497100
2019-07-02,344.000000,346.000000,340.000000,344.000000,344.000000,9961600
2019-07-03,344.000000,346.000000,342.000000,344.000000,344.000000,7825200
2019-07-04,344.000000,344.000000,340.000000,342.000000,342.000000,4776600
2019-07-05,344.000000,344.000000,338.000000,340.000000,340.000000,7206300
2019-07-08,338.000000,342.000000,334.000000,334.000000,334.000000,7473500
2019-07-09,334.000000,340.000000,334.000000,338.000000,338.000000,6438100
2019-07-10,338.000000,346.000000,338.000000,346.000000,346.000000,10176700
2019-07-11,348.000000,356.000000,348.000000,354.000000,354.000000,22566600
2019-07-12,356.000000,356.000000,344.000000,346.000000,346.000000,9973800
2019-07-15,346.000000,352.000000,344.000000,348.000000,348.000000,17583800
2019-07-16,352.000000,352.000000,346.000000,346.000000,346.000000,3528500
2019-07-17,348.000000,348.000000,342.000000,344.000000,344.000000,5057600
2019-07-18,344.000000,352.000000,342.000000,352.000000,352.000000,7644400
2019-07-19,352.000000,354.000000,346.000000,346.000000,346.000000,4730500
2019-07-22,346.000000,348.000000,342.000000,344.000000,344.000000,9444900
2019-07-23,348.000000,348.000000,344.000000,346.000000,346.000000,3789000
2019-07-24,346.000000,348.000000,342.000000,346.000000,346.000000,4183000
2019-07-25,346.000000,348.000000,342.000000,348.000000,348.000000,7163900
2019-07-26,348.000000,350.000000,334.000000,342.000000,342.000000,7580100
2019-07-29,344.000000,344.000000,334.000000,336.000000,336.000000,4329400
2019-07-30,338.000000,344.000000,334.000000,334.000000,334.000000,5530300
2019-07-31,336.000000,338.000000,328.000000,332.000000,332.000000,9580900
2019-08-01,334.000000,334.000000,322.000000,322.000000,322.000000,11339600
2019-08-02,324.000000,324.000000,312.000000,314.000000,314.000000,6035100
2019-08-05,320.000000,320.000000,304.000000,310.000000,310.000000,12842900
2019-08-06,300.000000,310.000000,300.000000,310.000000,310.000000,9435400
2019-08-07,312.000000,318.000000,308.000000,310.000000,310.000000,11437600
2019-08-08,310.000000,324.000000,310.000000,322.000000,322.000000,9874000
2019-08-09,322.000000,328.000000,312.000000,312.000000,312.000000,7527800
2019-08-12,314.000000,318.000000,312.000000,314.000000,314.000000,2022000
2019-08-13,314.000000,314.000000,308.000000,312.000000,312.000000,7381800
2019-08-14,312.000000,320.000000,312.000000,318.000000,318.000000,6111400
2019-08-15,310.000000,316.000000,310.000000,312.000000,312.000000,4818800
2019-08-16,318.000000,328.000000,312.000000,318.000000,318.000000,7242500
2019-08-19,null,null,null,null,null,null
2019-08-20,318.000000,322.000000,314.000000,316.000000,316.000000,2325000
2019-08-21,314.000000,320.000000,312.000000,316.000000,316.000000,2893400
2019-08-22,316.000000,318.000000,314.000000,316.000000,316.000000,2825200
2019-08-23,314.000000,320.000000,314.000000,314.000000,314.000000,3016500
2019-08-26,316.000000,316.000000,308.000000,312.000000,312.000000,4322400
2019-08-27,312.000000,312.000000,306.000000,306.000000,306.000000,6626600
2019-08-28,306.000000,314.000000,306.000000,312.000000,312.000000,2881000
2019-08-29,314.000000,314.000000,306.000000,308.000000,308.000000,4961700
2019-08-30,308.000000,314.000000,308.000000,312.000000,312.000000,3369700
2019-09-02,312.000000,316.000000,310.000000,310.000000,310.000000,6061300
2019-09-03,312.000000,312.000000,308.000000,310.000000,310.000000,2563500
2019-09-04,310.000000,312.000000,306.000000,306.000000,306.000000,3808500
2019-09-05,308.000000,312.000000,308.000000,308.000000,308.000000,4291400
2019-09-06,308.000000,312.000000,306.000000,306.000000,306.000000,7147300
2019-09-09,306.000000,314.000000,306.000000,314.000000,314.000000,5542900
2019-09-10,314.000000,318.000000,308.000000,308.000000,308.000000,5467900
2019-09-11,308.000000,322.000000,308.000000,322.000000,322.000000,11689700
2019-09-12,322.000000,326.000000,316.000000,316.000000,316.000000,7007200
2019-09-13,318.000000,320.000000,312.000000,312.000000,312.000000,5090200
2019-09-16,316.000000,316.000000,310.000000,312.000000,312.000000,3399800
2019-09-17,312.000000,314.000000,308.000000,310.000000,310.000000,3566300
2019-09-18,310.000000,316.000000,308.000000,314.000000,314.000000,3380900
2019-09-19,316.000000,320.000000,312.000000,312.000000,312.000000,4368700
2019-09-20,312.000000,314.000000,300.000000,300.000000,300.000000,5226000
2019-09-23,302.000000,308.000000,300.000000,306.000000,306.000000,6875800
2019-09-24,308.000000,308.000000,294.000000,296.000000,296.000000,11929000
2019-09-25,296.000000,302.000000,296.000000,300.000000,300.000000,6525300
2019-09-26,300.000000,304.000000,298.000000,300.000000,300.000000,10562700
2019-09-27,300.000000,300.000000,290.000000,292.000000,292.000000,12694500
2019-09-30,292.000000,294.000000,288.000000,290.000000,290.000000,5760500
2019-10-01,290.000000,294.000000,288.000000,294.000000,294.000000,3931000
2019-10-02,292.000000,294.000000,288.000000,288.000000,288.000000,10325700
2019-10-03,288.000000,290.000000,282.000000,282.000000,282.000000,8320200
2019-10-04,286.000000,290.000000,280.000000,282.000000,282.000000,4837100
2019-10-07,284.000000,290.000000,272.000000,274.000000,274.000000,5974400
2019-10-08,274.000000,278.000000,274.000000,276.000000,276.000000,6427500
2019-10-09,280.000000,280.000000,272.000000,272.000000,272.000000,11842900
2019-10-10,274.000000,276.000000,272.000000,276.000000,276.000000,4610300
2019-10-11,278.000000,280.000000,276.000000,276.000000,276.000000,5667800
2019-10-14,280.000000,282.000000,274.000000,276.000000,276.000000,7139900
2019-10-15,280.000000,280.000000,274.000000,276.000000,276.000000,5530800
2019-10-16,278.000000,288.000000,278.000000,284.000000,284.000000,9456500
2019-10-17,286.000000,292.000000,284.000000,290.000000,290.000000,5616900
2019-10-18,290.000000,290.000000,284.000000,286.000000,286.000000,1856300
2019-10-21,286.000000,290.000000,284.000000,284.000000,284.000000,2454300
2019-10-22,284.000000,288.000000,282.000000,286.000000,286.000000,2442200
2019-10-23,286.000000,288.000000,282.000000,286.000000,286.000000,2576200
2019-10-24,286.000000,294.000000,286.000000,290.000000,290.000000,8585600
2019-10-25,290.000000,294.000000,288.000000,288.000000,288.000000,4442500
2019-10-28,288.000000,290.000000,284.000000,284.000000,284.000000,1184700
2019-10-29,286.000000,288.000000,282.000000,284.000000,284.000000,2331600
2019-10-30,284.000000,286.000000,280.000000,280.000000,280.000000,6745400
2019-10-31,280.000000,284.000000,274.000000,274.000000,274.000000,5034300
2019-11-01,276.000000,276.000000,260.000000,262.000000,262.000000,12678300
2019-11-04,266.000000,268.000000,260.000000,262.000000,262.000000,4112900
2019-11-05,266.000000,270.000000,262.000000,270.000000,270.000000,4059700
2019-11-06,272.000000,274.000000,262.000000,264.000000,264.000000,4294800
2019-11-07,264.000000,266.000000,260.000000,262.000000,262.000000,2995600
2019-11-08,262.000000,266.000000,262.000000,262.000000,262.000000,3368100
2019-11-11,264.000000,270.000000,260.000000,268.000000,268.000000,5190000
2019-11-12,268.000000,270.000000,262.000000,264.000000,264.000000,3695900
2019-11-13,264.000000,266.000000,262.000000,264.000000,264.000000,3844700
2019-11-14,266.000000,266.000000,252.000000,260.000000,260.000000,8632700
2019-11-15,260.000000,264.000000,256.000000,258.000000,258.000000,3775400
2019-11-18,null,null,null,null,null,null
2019-11-19,260.000000,262.000000,256.000000,258.000000,258.000000,2498600
2019-11-20,260.000000,260.000000,258.000000,258.000000,258.000000,2594400
2019-11-21,260.000000,260.000000,254.000000,260.000000,260.000000,2789800
2019-11-22,260.000000,260.000000,252.000000,254.000000,254.000000,2242000
2019-11-25,254.000000,258.000000,242.000000,258.000000,258.000000,9142700
2019-11-26,258.000000,260.000000,246.000000,246.000000,246.000000,3155700
2019-11-27,246.000000,248.000000,240.000000,242.000000,242.000000,4891600
2019-11-28,244.000000,244.000000,232.000000,238.000000,238.000000,5136400
2019-11-29,238.000000,240.000000,230.000000,240.000000,240.000000,4810500
2019-12-02,242.000000,242.000000,234.000000,234.000000,234.000000,14375800
2019-12-03,236.000000,246.000000,232.000000,238.000000,238.000000,4901700
2019-12-04,236.000000,238.000000,232.000000,236.000000,236.000000,5865900
2019-12-05,236.000000,242.000000,236.000000,240.000000,240.000000,8630200
2019-12-06,240.000000,242.000000,238.000000,238.000000,238.000000,2196400
